trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family
176,155,0.4659090909090909,72,0.4645161290322581,11.679999999999994,15.199999999999998,0.13411159359489036,-5.660000000000001,0.3795454545454545,0.36,0.2012969553504724,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,both,all
145,131,0.46206896551724136,61,0.46564885496183206,10.249999999999996,13.149999999999999,0.1429441177767658,-4.149999999999998,0.3713793103448276,0.35,0.21446091227212938,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,both,central
31,31,0.4838709677419355,15,0.4838709677419355,1.4299999999999988,2.05,0.0915291277885752,-4.42,0.41774193548387106,0.4,0.13972360845885107,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,both,wings
10,10,0.8,8,0.8,3.28,3.48,0.7610411387520047,-0.54,0.45199999999999996,0.42500000000000004,0.7827001802312081,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,both,wing_high
21,21,0.3333333333333333,7,0.3333333333333333,-1.8500000000000005,-1.4300000000000002,-0.1802876668819692,-4.23,0.4014285714285715,0.36,-0.16645571143274757,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,both,wing_low
34,34,0.47058823529411764,16,0.47058823529411764,4.059999999999999,4.739999999999999,0.23711968414553689,-1.5700000000000003,0.3311764705882353,0.305,0.41156282284092804,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,YES,all
25,25,0.36,9,0.36,0.7799999999999992,1.2799999999999998,0.061377062376150225,-2.4700000000000006,0.3088000000000001,0.29,0.19450590651502747,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,YES,central
9,9,0.7777777777777778,7,0.7777777777777778,3.28,3.46,0.8612729406070921,-0.3599999999999999,0.3933333333333333,0.34,1.0144987015239852,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,YES,wings
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,YES,wing_high
9,9,0.7777777777777778,7,0.7777777777777778,3.28,3.46,0.8612729406070921,-0.3599999999999999,0.3933333333333333,0.34,1.0144987015239852,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,YES,wing_low
142,139,0.4647887323943662,63,0.45323741007194246,7.619999999999996,10.459999999999999,0.10869885933494083,-4.7200000000000015,0.3911267605633803,0.38,0.15095160679641964,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,NO,all
120,120,0.48333333333333334,58,0.48333333333333334,9.469999999999995,11.870000000000001,0.15995129536109942,-3.5699999999999994,0.38441666666666663,0.375,0.21861820513819233,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,NO,central
22,22,0.36363636363636365,8,0.36363636363636365,-1.850000000000001,-1.4100000000000001,-0.17403976349582126,-4.42,0.42772727272727273,0.42500000000000004,-0.21813892961324932,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,NO,wings
10,10,0.8,8,0.8,3.28,3.48,0.7610411387520047,-0.54,0.45199999999999996,0.42500000000000004,0.7827001802312081,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,NO,wing_high
12,12,0.0,0,0.0,-5.13,-4.89,-4.137635003139323,-4.640000000000001,0.4075,0.41000000000000003,-1.052171521150297,CORE,1PM,no_gate1,35,True,25_75_current,0.25,0.75,NO,wing_low
137,126,0.48905109489051096,62,0.49206349206349204,7.879999999999996,10.62,0.11591159779276738,-5.200000000000001,0.41153284671532847,0.4,0.14959270198866254,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,both,all
110,106,0.4818181818181818,52,0.49056603773584906,6.269999999999998,8.469999999999999,0.11519598212883037,-3.4399999999999995,0.40481818181818185,0.39,0.14288664469735574,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,both,central
27,27,0.5185185185185185,14,0.5185185185185185,1.609999999999999,2.1499999999999995,0.11658775462979555,-3.82,0.43888888888888894,0.43000000000000005,0.17691367613843104,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,both,wings
10,10,0.8,8,0.8,3.28,3.48,0.7610411387520047,-0.54,0.45199999999999996,0.42500000000000004,0.7827001802312081,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,both,wing_high
17,17,0.35294117647058826,6,0.35294117647058826,-1.6700000000000004,-1.3300000000000003,-0.19682403104668486,-3.33,0.4311764705882353,0.43000000000000005,-0.1794313262690849,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,both,wing_low
20,20,0.45,9,0.45,1.0399999999999994,1.44,0.10493735572074556,-1.37,0.378,0.34,0.13198856029927022,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,YES,all
12,12,0.25,3,0.25,-1.5200000000000005,-1.2800000000000002,-0.27018452637787993,-2.47,0.3566666666666667,0.34,-0.310123861541641,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,YES,central
8,8,0.75,6,0.75,2.5599999999999996,2.7199999999999998,0.7453675465259031,-0.3599999999999999,0.41000000000000003,0.35,0.7951571930606373,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,YES,wings
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,YES,wing_high
8,8,0.75,6,0.75,2.5599999999999996,2.7199999999999998,0.7453675465259031,-0.3599999999999999,0.41000000000000003,0.35,0.7951571930606373,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,YES,wing_low
117,114,0.49572649572649574,55,0.4824561403508772,6.839999999999995,9.18,0.11728291284494334,-3.8400000000000016,0.41726495726495727,0.41000000000000003,0.15260195697830226,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,NO,all
98,98,0.5102040816326531,50,0.5102040816326531,7.789999999999999,9.75,0.1604247152072726,-3.4399999999999995,0.4107142857142858,0.4,0.1983573189307023,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,NO,central
19,19,0.42105263157894735,8,0.42105263157894735,-0.9500000000000003,-0.5700000000000004,-0.09743135942814758,-3.82,0.45105263157894737,0.43000000000000005,-0.0833993836182874,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,NO,wings
10,10,0.8,8,0.8,3.28,3.48,0.7610411387520047,-0.54,0.45199999999999996,0.42500000000000004,0.7827001802312081,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,NO,wing_high
9,9,0.0,0,0.0,-4.23,-4.05,-5.8184539295476245,-3.74,0.44999999999999996,0.44999999999999996,-1.045732232339949,CORE,1PM,no_gate1,35,True,30_70,0.3,0.7,NO,wing_low
98,92,0.5408163265306123,49,0.532608695652174,7.079999999999998,9.040000000000001,0.14411733683917793,-5.540000000000001,0.44857142857142857,0.43999999999999995,0.1799687750167643,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,both,all
76,75,0.5526315789473685,41,0.5466666666666666,6.739999999999998,8.26,0.17642219098548861,-2.7899999999999996,0.4439473684210526,0.43999999999999995,0.22305737781224438,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,both,central
22,22,0.5,11,0.5,0.3399999999999991,0.7799999999999997,0.030669503469487634,-3.82,0.4645454545454546,0.45999999999999996,0.031117238086923918,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,both,wings
9,9,0.7777777777777778,7,0.7777777777777778,2.6399999999999997,2.82,0.6635040529380786,-0.54,0.4644444444444445,0.43000000000000005,0.660516540126179,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,both,wing_high
13,13,0.3076923076923077,4,0.3076923076923077,-2.3000000000000003,-2.04,-0.3806281513563469,-3.33,0.4646153846153847,0.47,-0.40462074024794487,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,both,wing_low
9,9,0.6666666666666666,6,0.6666666666666666,1.7999999999999998,1.98,0.3968769596817204,-0.45999999999999996,0.4466666666666667,0.44,0.5037121598227192,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,YES,all
5,5,0.4,2,0.4,-0.13,-0.029999999999999916,-0.043501014579688274,-0.45999999999999996,0.40599999999999997,0.36,0.0763777941136432,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,YES,central
4,4,1.0,4,1.0,1.9300000000000002,2.0100000000000002,4.987674032341531,0.0,0.49749999999999994,0.53,1.0378801169590643,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,YES,wings
0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,YES,wing_high
4,4,1.0,4,1.0,1.9300000000000002,2.0100000000000002,4.987674032341531,0.0,0.49749999999999994,0.53,1.0378801169590643,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,YES,wing_low
89,86,0.5280898876404494,44,0.5116279069767442,5.279999999999998,7.06,0.11816349817960783,-4.9,0.4487640449438202,0.43999999999999995,0.14723067992402727,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,NO,all
71,71,0.5633802816901409,40,0.5633802816901409,6.869999999999997,8.29,0.19378510384081357,-2.8399999999999985,0.4466197183098592,0.43999999999999995,0.23338692596003321,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,NO,central
18,18,0.3888888888888889,7,0.3888888888888889,-1.5900000000000007,-1.2300000000000004,-0.1769197388243663,-3.94,0.45722222222222225,0.44,-0.19260784610688506,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,NO,wings
9,9,0.7777777777777778,7,0.7777777777777778,2.6399999999999997,2.82,0.6635040529380786,-0.54,0.4644444444444445,0.43000000000000005,0.660516540126179,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,NO,wing_high
9,9,0.0,0,0.0,-4.23,-4.05,-5.8184539295476245,-3.74,0.44999999999999996,0.44999999999999996,-1.045732232339949,CORE,1PM,no_gate1,35,True,35_65,0.35,0.65,NO,wing_low
