trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,target,stop_diff,path_available_trades,path_available_rate,exit_counts
460,323,0.3847826086956522,105,0.32507739938080493,-28.879999999999995,-13.27999999999999,-0.23235624537315422,-33.559999999999995,0.5183043478260869,0.53,-0.1363306637314705,CORE_BECKER_PRINT_REPLAY,0.68,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 163, ""TARGET"": 172}"
460,323,0.44130434782608696,122,0.37770897832817335,-27.979999999999993,-12.45999999999999,-0.21532999117665985,-32.58999999999997,0.5183043478260869,0.53,-0.1320186041613589,CORE_BECKER_PRINT_REPLAY,0.68,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 135, ""TARGET"": 200}"
460,323,0.4826086956521739,134,0.4148606811145511,-24.70999999999999,-9.259999999999987,-0.1829710787665188,-30.48999999999998,0.5183043478260869,0.53,-0.11227105407651868,CORE_BECKER_PRINT_REPLAY,0.68,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 115, ""TARGET"": 220}"
460,323,0.5391304347826087,154,0.47678018575851394,-15.43999999999999,-0.0499999999999865,-0.1104157920866817,-21.379999999999985,0.5183043478260869,0.53,-0.050893021187542346,CORE_BECKER_PRINT_REPLAY,0.68,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 130, ""STOP"": 84, ""TARGET"": 246}"
460,323,0.6217391304347826,182,0.5634674922600619,-4.179999999999991,10.700000000000015,-0.02897976994934237,-17.04,0.5183043478260869,0.53,0.003427326737892361,CORE_BECKER_PRINT_REPLAY,0.68,none,335,0.7282608695652174,"{""SETTLEMENT"": 176, ""TARGET"": 284}"
460,323,0.3869565217391304,109,0.33746130030959753,-26.820000000000014,-11.220000000000006,-0.21348085934049524,-31.57000000000002,0.5183043478260869,0.53,-0.12900674631964393,CORE_BECKER_PRINT_REPLAY,0.7,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 169, ""TARGET"": 166}"
460,323,0.44565217391304346,125,0.38699690402476783,-25.980000000000015,-10.470000000000008,-0.19743350215917407,-30.849999999999987,0.5183043478260869,0.53,-0.12511678037052162,CORE_BECKER_PRINT_REPLAY,0.7,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 141, ""TARGET"": 194}"
460,323,0.4826086956521739,137,0.4241486068111455,-24.010000000000012,-8.580000000000007,-0.17437410860504027,-29.450000000000003,0.5183043478260869,0.53,-0.1100467289457733,CORE_BECKER_PRINT_REPLAY,0.7,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 124, ""TARGET"": 211}"
460,323,0.5391304347826087,155,0.47987616099071206,-14.570000000000014,0.79999999999999,-0.10181594546220987,-20.259999999999998,0.5183043478260869,0.53,-0.04708897551601896,CORE_BECKER_PRINT_REPLAY,0.7,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 130, ""STOP"": 93, ""TARGET"": 237}"
460,323,0.6326086956521739,186,0.5758513931888545,-0.5400000000000187,14.279999999999989,-0.003669994695475145,-17.039999999999996,0.5183043478260869,0.53,0.017962916626399105,CORE_BECKER_PRINT_REPLAY,0.7,none,335,0.7282608695652174,"{""SETTLEMENT"": 179, ""TARGET"": 281}"
460,323,0.4391304347826087,121,0.3746130030959752,-21.780000000000005,-6.189999999999999,-0.16840872249148708,-27.12999999999999,0.5183043478260869,0.53,-0.11155346119831086,CORE_BECKER_PRINT_REPLAY,0.75,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 179, ""TARGET"": 156}"
460,323,0.5,139,0.43034055727554177,-20.070000000000004,-4.569999999999999,-0.14716264816023183,-25.589999999999993,0.5183043478260869,0.53,-0.10359941035038096,CORE_BECKER_PRINT_REPLAY,0.75,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 151, ""TARGET"": 184}"
460,323,0.5391304347826087,154,0.47678018575851394,-17.860000000000003,-2.4499999999999993,-0.12460042756542034,-24.099999999999984,0.5183043478260869,0.53,-0.08745903747875813,CORE_BECKER_PRINT_REPLAY,0.75,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 133, ""TARGET"": 202}"
460,323,0.5978260869565217,171,0.5294117647058824,-6.890000000000002,8.44,-0.0460758267347404,-17.04,0.5183043478260869,0.53,-0.01610725347734725,CORE_BECKER_PRINT_REPLAY,0.75,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 130, ""STOP"": 101, ""TARGET"": 229}"
460,323,0.6934782608695652,203,0.628482972136223,7.669999999999995,22.33,0.04931219835807917,-17.040000000000003,0.5183043478260869,0.53,0.05055663473095855,CORE_BECKER_PRINT_REPLAY,0.75,none,335,0.7282608695652174,"{""SETTLEMENT"": 187, ""TARGET"": 273}"
460,323,0.39565217391304347,117,0.3622291021671827,-25.57,-10.009999999999991,-0.19349051705192238,-29.95,0.5183043478260869,0.53,-0.1340414972697837,CORE_BECKER_PRINT_REPLAY,0.8,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 209, ""TARGET"": 126}"
460,323,0.4652173913043478,133,0.4117647058823529,-22.89,-7.429999999999991,-0.16272298290120454,-27.49999999999998,0.5183043478260869,0.53,-0.12332998021567594,CORE_BECKER_PRINT_REPLAY,0.8,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 177, ""TARGET"": 158}"
460,323,0.5152173913043478,151,0.4674922600619195,-18.509999999999994,-3.169999999999991,-0.12359188893533153,-23.999999999999986,0.5183043478260869,0.53,-0.0941625452152282,CORE_BECKER_PRINT_REPLAY,0.8,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 154, ""TARGET"": 181}"
460,323,0.5804347826086956,169,0.5232198142414861,-6.049999999999994,9.160000000000013,-0.03849278310920621,-17.21,0.5183043478260869,0.53,-0.018741142836464057,CORE_BECKER_PRINT_REPLAY,0.8,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 132, ""STOP"": 117, ""TARGET"": 211}"
460,323,0.6847826086956522,204,0.631578947368421,10.400000000000011,24.780000000000015,0.06277119630774966,-17.039999999999996,0.5183043478260869,0.53,0.05387825606628162,CORE_BECKER_PRINT_REPLAY,0.8,none,335,0.7282608695652174,"{""SETTLEMENT"": 201, ""TARGET"": 259}"
460,323,0.2826086956521739,100,0.30959752321981426,-28.580000000000005,-14.559999999999997,-0.19380104120827335,-32.63000000000002,0.5183043478260869,0.53,-0.1514640572036883,CORE_BECKER_PRINT_REPLAY,none,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 199, ""STOP"": 261}"
460,323,0.33695652173913043,115,0.3560371517027864,-28.54,-15.179999999999998,-0.17717260894232642,-32.919999999999966,0.5183043478260869,0.53,-0.15740910257632712,CORE_BECKER_PRINT_REPLAY,none,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 224, ""STOP"": 236}"
460,323,0.3826086956521739,124,0.38390092879256965,-23.080000000000002,-10.29,-0.1319464766854559,-27.470000000000006,0.5183043478260869,0.53,-0.12636516579611895,CORE_BECKER_PRINT_REPLAY,none,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 245, ""STOP"": 215}"
460,323,0.44130434782608696,140,0.43343653250773995,-9.240000000000002,2.820000000000004,-0.04887064516252748,-17.039999999999996,0.5183043478260869,0.53,-0.04271240662592604,CORE_BECKER_PRINT_REPLAY,none,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 280, ""STOP"": 180}"
460,323,0.5760869565217391,171,0.5294117647058824,17.37999999999999,26.58,0.08138412192841706,-17.04000000000001,0.5183043478260869,0.53,0.06922821269349648,CORE_BECKER_PRINT_REPLAY,none,none,335,0.7282608695652174,"{""SETTLEMENT"": 460}"
