trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family,source,target,stop_diff,exit_counts,path_available_trades,path_available_rate,p_yes_max,yes_price_min,yes_price_max
460,323,0.45,134,0.4148606811145511,-22.289999999999996,-6.4199999999999875,-0.15603127113551404,-30.51999999999999,0.5183043478260869,0.53,-0.1031625027772392,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.8,0.1,"{""SETTLEMENT"": 99, ""STOP_11AM"": 61, ""STOP_1PM"": 82, ""STOP_3PM"": 62, ""TARGET_11AM"": 38, ""TARGET_1PM"": 51, ""TARGET_3PM"": 67}",,,,,
460,323,0.4717391304347826,145,0.44891640866873067,-23.079999999999995,-8.719999999999995,-0.15039648140415932,-31.07999999999999,0.5183043478260869,0.53,-0.07272097310419176,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.65,none,"{""SETTLEMENT"": 202, ""TARGET_11AM"": 121, ""TARGET_1PM"": 72, ""TARGET_3PM"": 65}",,,,,
460,323,0.5,145,0.44891640866873067,-24.53,-8.89,-0.16755444701830638,-32.66999999999999,0.5183043478260869,0.53,-0.10347376147639067,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.75,0.15,"{""SETTLEMENT"": 107, ""STOP_11AM"": 28, ""STOP_1PM"": 69, ""STOP_3PM"": 62, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 74}",,,,,
460,323,0.4717391304347826,136,0.42105263157894735,-25.23000000000001,-9.710000000000008,-0.1736938214893858,-32.56,0.5183043478260869,0.53,-0.09851956972976145,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.7,0.2,"{""SETTLEMENT"": 112, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 66, ""TARGET_11AM"": 95, ""TARGET_1PM"": 58, ""TARGET_3PM"": 69}",,,,,
460,323,0.5760869565217391,171,0.5294117647058824,17.37999999999999,26.58,0.08138412192841706,-17.04000000000001,0.5183043478260869,0.53,0.06922821269349648,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,none,none,"{""SETTLEMENT"": 460}",335.0,0.7282608695652174,,,
460,323,0.6847826086956522,204,0.631578947368421,10.400000000000011,24.780000000000015,0.06277119630774966,-17.039999999999996,0.5183043478260869,0.53,0.05387825606628162,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.8,none,"{""SETTLEMENT"": 201, ""TARGET"": 259}",335.0,0.7282608695652174,,,
460,323,0.6934782608695652,203,0.628482972136223,7.669999999999995,22.33,0.04931219835807917,-17.040000000000003,0.5183043478260869,0.53,0.05055663473095855,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.75,none,"{""SETTLEMENT"": 187, ""TARGET"": 273}",335.0,0.7282608695652174,,,
460,323,0.6326086956521739,186,0.5758513931888545,-0.5400000000000187,14.279999999999989,-0.003669994695475145,-17.039999999999996,0.5183043478260869,0.53,0.017962916626399105,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.7,none,"{""SETTLEMENT"": 179, ""TARGET"": 281}",335.0,0.7282608695652174,,,
460,323,0.6217391304347826,182,0.5634674922600619,-4.179999999999991,10.700000000000015,-0.02897976994934237,-17.04,0.5183043478260869,0.53,0.003427326737892361,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.68,none,"{""SETTLEMENT"": 176, ""TARGET"": 284}",335.0,0.7282608695652174,,,
460,323,0.5804347826086956,169,0.5232198142414861,-6.049999999999994,9.160000000000013,-0.03849278310920621,-17.21,0.5183043478260869,0.53,-0.018741142836464057,CORE_BECKER_PRINT_REPLAY,,,,,,,,,,becker_exit_grid,0.8,0.25,"{""SETTLEMENT"": 132, ""STOP"": 117, ""TARGET"": 211}",335.0,0.7282608695652174,,,
