trades,win_rate,net_pnl,avg_entry,avg_gap_abs,avg_model_prob,avg_confidence,sharpe,max_drawdown,factor,value,losses,loss_net,loss_share
48,0.7291666666666666,2.9399999999999995,0.6504166666666666,26.82377102483621,0.15616905319745658,60.35958333333334,0.1652144416847749,-1.02,month,2025-11,13,-6.210000000000001,0.2708333333333333
54,0.6481481481481481,-3.7100000000000013,0.7007407407407409,26.172037977911064,0.10605231498376642,55.83814814814814,-0.18103344289570727,-5.59,month,2025-12,19,-10.1,0.35185185185185186
59,0.6271186440677966,-4.170000000000001,0.6813559322033899,25.94082351097805,0.11313093788496766,58.293898305084745,-0.19960797419078563,-4.8100000000000005,month,2026-01,22,-10.68,0.3728813559322034
71,0.676056338028169,-0.6600000000000019,0.6676056338028169,29.790701727764883,0.08364846963826619,56.56957746478873,-0.02320479535297473,-4.470000000000001,month,2026-02,23,-12.579999999999998,0.323943661971831
49,0.7551020408163265,-0.6400000000000015,0.7528571428571429,21.991413018611226,0.11413171672807848,50.315918367346946,-0.03729799614323821,-2.24,month,2026-03,12,-6.669999999999999,0.24489795918367346
49,0.8367346938775511,5.369999999999999,0.7116326530612246,23.216915100825087,0.17643877899671134,53.823877551020416,0.3070441897418255,-1.35,month,2026-04,8,-4.43,0.16326530612244897
21,0.19047619047619047,-0.7500000000000002,0.20857142857142852,60.24206798418241,0.3338342857391578,76.68380952380951,-0.08684603324651202,-2.4400000000000004,entry_bucket,<25c,17,-3.8600000000000003,0.8095238095238095
67,0.40298507462686567,5.359999999999998,0.3029850746268657,40.65771305099154,0.6182158687246924,73.36373134328358,0.16096576514772726,-3.9600000000000013,entry_bucket,25-35c,40,-12.98,0.5970149253731343
89,0.47191011235955055,3.6300000000000012,0.411123595505618,38.482370586152726,0.45503929143237104,64.88797752808989,0.08089082956186655,-4.9300000000000015,entry_bucket,35-45c,47,-20.33,0.5280898876404494
116,0.43103448275862066,-11.630000000000003,0.5112931034482757,34.69530307679003,0.30717954052984275,60.26534482758621,-0.20298033242988314,-16.94000000000001,entry_bucket,45-55c,66,-34.82000000000001,0.5689655172413793
124,0.6854838709677419,7.439999999999992,0.605483870967742,33.86386760652889,0.07374903305964478,62.82137096774195,0.12941694677869373,-4.940000000000001,entry_bucket,55-65c,39,-24.19,0.31451612903225806
