date,ticker,bracket,bracket_type,sleeve,gap_pp,direction,entry_price,entry_timing,confidence,model_prob,kalshi_result_yes,reconstructed_result_yes,settlement_mismatch,consensus,model_weight_source,weight_gfs,weight_ecmwf,weight_ukmo,weight_nbm,physics_mean,physics_spread,ai_mean,ai_spread,win,gross,fee,net,actual_temp,settlement_temp,month,month_num,quarter,is_current_tradeable,gap_abs,spread_between,actual_minus_consensus,entry_bucket,gap_bucket,prob_bucket,model_error_bucket,loss_mode
2024-12-24,KXHIGHNY-24DEC24-B38.5,38-39F,central,CORE,-33.24221182452857,NO,0.52,9AM,66.32,0.1475778817547143,True,True,False,36.650000000000006,fixed_weights,0.25,0.35,0.2,0.2,36.900000000000006,2.6999999999999993,36.95,0.0500000000000007,False,-0.52,0.02,-0.54,39.0,39.0,2024-12,12,2024Q4,True,33.24221182452857,0.04999999999999716,2.3499999999999943,45-55c,30-35,10-25%,+1:+3F,NO_loss_actual_hotter_than_model
2024-12-25,KXHIGHNY-24DEC25-B35.5,35-36F,central,CORE,-25.608830305254827,NO,0.53,9AM,52.81,0.2139116969474517,True,True,False,33.96,fixed_weights,0.25,0.35,0.2,0.2,33.7,1.0,34.599999999999994,0.1999999999999993,False,-0.53,0.02,-0.55,35.0,35.0,2024-12,12,2024Q4,True,25.608830305254827,0.8999999999999915,1.0399999999999991,45-55c,25-30,10-25%,+1:+3F,NO_loss_bracket_hit
2024-12-30,KXHIGHNY-24DEC30-B58.5,58-59F,central,CORE,-31.764688680026133,NO,0.65,9AM,69.35,0.0323531131997386,True,True,False,55.46999999999999,fixed_weights,0.25,0.35,0.2,0.2,55.8,0.5,55.099999999999994,1.8000000000000007,False,-0.65,0.02,-0.67,58.0,58.0,2024-12,12,2024Q4,True,31.764688680026133,0.7000000000000028,2.5300000000000082,55-65c,30-35,2-5%,+1:+3F,NO_loss_actual_hotter_than_model
2024-12-31,KXHIGHNY-24DEC31-B52.5,52-53F,central,CORE,-30.526746266128217,NO,0.5,9AM,37.37,0.1947325373387178,True,True,False,50.879999999999995,fixed_weights,0.25,0.35,0.2,0.2,52.0,1.6000000000000014,49.599999999999994,1.6999999999999993,False,-0.5,0.02,-0.52,53.0,53.0,2024-12,12,2024Q4,True,30.526746266128217,2.4000000000000057,2.1200000000000045,45-55c,30-35,10-25%,+1:+3F,NO_loss_actual_hotter_than_model
2025-01-01,KXHIGHNY-25JAN01-B51.5,51-52F,central,CORE,-28.699806896697076,NO,0.6,9AM,44.93,0.1130019310330292,True,True,False,49.435,fixed_weights,0.25,0.35,0.2,0.2,50.25,0.1499999999999985,48.25,1.3500000000000014,False,-0.6,0.02,-0.62,51.0,51.0,2025-01,1,2025Q1,True,28.699806896697076,2.0,1.5649999999999977,55-65c,25-30,10-25%,+1:+3F,NO_loss_bracket_hit
2025-01-03,KXHIGHNY-25JAN03-B37.5,37-38F,central,CORE,50.17325936091268,YES,0.26,9AM,84.0,0.7617325936091268,False,False,False,37.62,fixed_weights,0.25,0.35,0.2,0.2,38.0,0.7999999999999972,37.25,0.25,False,-0.26,0.02,-0.28,39.0,39.0,2025-01,1,2025Q1,True,50.17325936091268,0.75,1.3800000000000026,25-35c,50+,75-100%,+1:+3F,YES_loss_near_model_or_adjacent
2025-01-03,KXHIGHNY-25JAN03-B39.5,39-40F,central,CORE,-42.776109468538706,NO,0.43,9AM,74.0,0.1422389053146129,True,True,False,37.62,fixed_weights,0.25,0.35,0.2,0.2,38.0,0.7999999999999972,37.25,0.25,False,-0.43,0.02,-0.45,39.0,39.0,2025-01,1,2025Q1,True,42.776109468538706,0.75,1.3800000000000026,35-45c,40-50,10-25%,+1:+3F,NO_loss_bracket_hit
2025-01-07,KXHIGHNY-25JAN07-B30.5,30-31F,central,CORE,23.336239709782227,YES,0.48,9AM,48.11,0.7133623970978222,False,False,False,31.12,fixed_weights,0.25,0.35,0.2,0.2,31.1,1.6000000000000014,31.55,1.4499999999999993,False,-0.48,0.02,-0.5,33.0,33.0,2025-01,1,2025Q1,True,23.336239709782227,0.4499999999999993,1.879999999999999,45-55c,20-25,50-75%,+1:+3F,YES_loss_near_model_or_adjacent
2025-01-10,KXHIGHNY-25JAN10-B37.5,37-38F,central,CORE,40.37473831913112,YES,0.25,9AM,83.33,0.6537473831913112,False,False,False,38.31,fixed_weights,0.25,0.35,0.2,0.2,38.7,1.5,38.099999999999994,0.1999999999999993,False,-0.25,0.02,-0.27,39.0,39.0,2025-01,1,2025Q1,True,40.37473831913112,0.6000000000000085,0.6899999999999977,<25c,40-50,50-75%,-1:+1F,YES_loss_near_model_or_adjacent
2025-01-11,KXHIGHNY-25JAN11-B35.5,35-36F,central,CORE,-53.10559913053529,NO,0.25,9AM,88.67,0.2189440086946471,True,True,False,33.98,fixed_weights,0.25,0.35,0.2,0.2,34.0,1.0,34.2,0.3000000000000007,False,-0.25,0.02,-0.27,36.0,36.0,2025-01,1,2025Q1,True,53.10559913053529,0.20000000000000284,2.020000000000003,<25c,50+,10-25%,+1:+3F,NO_loss_actual_hotter_than_model
2025-01-12,KXHIGHNY-25JAN12-B40.5,40-41F,central,CORE,45.37923530934636,YES,0.31,9AM,66.33,0.7637923530934636,False,False,False,40.645,fixed_weights,0.25,0.35,0.2,0.2,41.650000000000006,1.4499999999999993,39.5,0.7000000000000028,False,-0.31,0.02,-0.33,42.0,42.0,2025-01,1,2025Q1,True,45.37923530934636,2.1500000000000057,1.3549999999999969,25-35c,40-50,75-100%,+1:+3F,YES_loss_near_model_or_adjacent
2025-01-16,KXHIGHNY-25JAN16-B30.5,<=nanF,wing_low,CORE,-48.0,NO,0.52,9AM,82.67,0.0,True,False,True,29.05,fixed_weights,0.25,0.35,0.2,0.2,29.2,0.3000000000000007,28.9,1.0,False,-0.52,0.02,-0.54,30.0,30.0,2025-01,1,2025Q1,True,48.0,0.3000000000000007,0.9499999999999993,45-55c,40-50,0-0.5%,-1:+1F,NO_loss_cold_lower_tail_hit
2025-01-16,KXHIGHNY-25JAN16-B30.5,<=nanF,wing_low,DEEP_TAIL_NO,-48.0,NO,0.54,9AM,82.67,0.0,True,False,True,29.05,fixed_weights,0.25,0.35,0.2,0.2,29.2,0.3000000000000007,28.9,1.0,False,-0.54,0.02,-0.56,30.0,30.0,2025-01,1,2025Q1,True,48.0,0.3000000000000007,0.9499999999999993,45-55c,40-50,0-0.5%,-1:+1F,NO_loss_cold_lower_tail_hit
2025-01-17,KXHIGHNY-25JAN17-B39.5,39-40F,central,CORE,54.39224481838345,YES,0.4,9AM,60.0,0.9439224481838344,False,False,False,40.47,fixed_weights,0.25,0.35,0.2,0.2,41.4,1.5,39.45,0.1500000000000021,False,-0.4,0.02,-0.42,42.0,42.0,2025-01,1,2025Q1,True,54.39224481838345,1.9499999999999957,1.5300000000000011,35-45c,50+,75-100%,+1:+3F,YES_loss_near_model_or_adjacent
2025-01-17,KXHIGHNY-25JAN17-B41.5,<=nanF,wing_low,CORE,-34.0,NO,0.6599999999999999,9AM,67.0,0.0,True,False,True,40.47,fixed_weights,0.25,0.35,0.2,0.2,41.4,1.5,39.45,0.1500000000000021,False,-0.6599999999999999,0.02,-0.6799999999999999,42.0,42.0,2025-01,1,2025Q1,True,34.0,1.9499999999999957,1.5300000000000011,65-75c,30-35,0-0.5%,+1:+3F,NO_loss_cold_lower_tail_hit
2025-01-17,KXHIGHNY-25JAN17-B41.5,<=nanF,wing_low,DEEP_TAIL_NO,-34.0,NO,0.6799999999999999,9AM,67.0,0.0,True,False,True,40.47,fixed_weights,0.25,0.35,0.2,0.2,41.4,1.5,39.45,0.1500000000000021,False,-0.6799999999999999,0.02,-0.7,42.0,42.0,2025-01,1,2025Q1,True,34.0,1.9499999999999957,1.5300000000000011,65-75c,30-35,0-0.5%,+1:+3F,NO_loss_cold_lower_tail_hit
2025-01-18,KXHIGHNY-25JAN18-B43.5,43-44F,central,CORE,63.68032383366582,YES,0.27,9AM,80.33,0.9068032383366582,False,False,False,43.690000000000005,fixed_weights,0.25,0.35,0.2,0.2,44.1,0.8999999999999986,43.3,1.099999999999998,False,-0.27,0.02,-0.29,46.0,46.0,2025-01,1,2025Q1,True,63.68032383366582,0.8000000000000043,2.309999999999995,25-35c,50+,75-100%,+1:+3F,YES_loss_actual_hotter_than_model
