trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,p_yes_max,yes_price_min,yes_price_max
23,23,0.21739130434782608,5,0.21739130434782608,1.5699999999999996,1.869999999999999,0.17636293413156284,-1.2099999999999997,0.13608695652173916,0.14,-0.008622733239101498,TAIL_NO,9AM,0.2,0.65,
21,21,0.19047619047619047,4,0.19047619047619047,1.1799999999999995,1.4399999999999997,0.1504416875741982,-0.9200000000000002,0.12190476190476193,0.12,-0.0662340693853299,TAIL_NO,9AM,0.2,0.75,
151,150,0.40397350993377484,60,0.4,-7.340000000000007,-4.5,-0.1003210835149629,-14.920000000000002,0.4337748344370861,0.5,-0.12963924279998643,TAIL_NO,9AM,0.3,0.45,
63,63,0.4126984126984127,26,0.4126984126984127,5.969999999999999,7.05,0.21414075562712515,-4.39,0.3007936507936509,0.39,0.09463784501173031,TAIL_NO,9AM,0.3,0.55,
30,30,0.16666666666666666,5,0.16666666666666666,-0.060000000000000824,0.3599999999999993,-0.005456091229136745,-2.18,0.1546666666666667,0.14500000000000002,-0.2739383252202945,TAIL_NO,9AM,0.3,0.65,
24,24,0.16666666666666666,4,0.16666666666666666,0.8499999999999994,1.1499999999999995,0.09987867459317702,-1.1700000000000004,0.11875000000000002,0.11499999999999999,-0.2143557768957385,TAIL_NO,9AM,0.3,0.75,
177,176,0.3954802259887006,69,0.39204545454545453,-10.450000000000006,-7.110000000000005,-0.12242446391297827,-15.560000000000006,0.4356497175141243,0.5,-0.15419343994610923,TAIL_NO,9AM,0.4,0.45,
73,73,0.3972602739726027,29,0.3972602739726027,5.419999999999996,6.679999999999997,0.16631062640305078,-4.18,0.3057534246575343,0.4,0.04985070135111762,TAIL_NO,9AM,0.4,0.55,
34,34,0.17647058823529413,6,0.17647058823529413,0.08999999999999908,0.5699999999999991,0.0071321752106687925,-2.5300000000000002,0.15970588235294123,0.14500000000000002,-0.26073633172042227,TAIL_NO,9AM,0.4,0.65,
26,26,0.15384615384615385,4,0.15384615384615385,0.6399999999999989,0.9599999999999996,0.07191646809143637,-1.1700000000000004,0.11692307692307692,0.10999999999999999,-0.2830941437079544,TAIL_NO,9AM,0.4,0.75,
467,312,1.0,312,1.0,4.0505793164058446e-15,4.670000000000004,0.0,0.0,0.9900000000000001,0.99,8.761229676650542e-18,NEAR_CONFIRMED_NO,9AM,0.005,,0.01
777,417,0.9987129987129987,416,0.9976019184652278,-0.9999999999999933,6.770000000000007,-0.03587480016670852,-1.0,0.99,0.99,-0.0013000013000012915,NEAR_CONFIRMED_NO,9AM,0.005,,0.03
